imdb_score,movie_id,release_year,movie_title_length,aspect_ratio,genres_length,distributor_length,actor1_length,is_Miramax,is_Nov,is_Dec,comput,campus,holiday,riot,terror,escap,wish,love,action,adventure,scifi,thriller,western,sport,horror,drama,war,crime,documentary,biography,fantasy,comedy,family,movie_budget,duration,nb_news_articles,movie_meter_IMDBpro,nb_faces,actor3_star_meter,animation,actor1_star_meter,R,PG-13,Approved,TV-G,TV-14,is_color
6.2,163,2013,6,2.35,29,17,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,35000000,118,881,4776,0,2252,0,304,1,0,0,0,0,1
6.5,164,2006,7,2.35,25,20,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,12000000,104,2550,3278,0,6852,0,573,0,1,0,0,0,1
4.9,172,1996,11,2.35,31,18,20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,45000000,100,177,6778,0,1266,0,3271,0,0,0,0,0,1
6.3,173,2011,20,2.35,20,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,23000000,97,774,5651,4,2226,0,580,1,0,0,0,0,1
5.1,175,1997,7,1.85,25,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,3000000,98,210,10945,0,6088,0,2781,0,0,0,0,0,1
6.8,177,1973,16,1.66,25,14,12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7000000,121,595,3488,3,11575,0,7038,0,0,0,0,0,1
5.7,178,2013,9,2.35,22,4,14,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,3000000,85,54,71,0,7775,0,6743,1,0,0,0,0,1
7.3,181,1986,27,2.35,31,21,11,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,25000000,99,724,2040,1,23888,0,10959,0,1,0,0,0,1
6.7,183,1994,10,2.35,28,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,45000000,119,118,4023,3,2271,0,1682,0,1,0,0,0,1
8.3,186,1997,17,2.35,28,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,35000000,138,80,1615,2,10551,0,625,1,0,0,0,0,1
6,187,1998,11,2.35,30,33,14,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,45000000,106,82,4759,0,3253,0,1863,1,0,0,0,0,1
8.1,191,1984,14,1.85,13,14,13,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6500000,107,6801,1100,1,8672,0,1232,1,0,0,0,0,1
7.5,194,1995,11,2.35,9,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6000000,104,0,656405,3,2364,0,159,1,0,0,0,0,1
7.7,197,2004,3,1.85,23,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1200000,103,3721,1488,0,2602,0,4267,1,0,0,0,0,1
6.4,208,2014,19,1.85,37,35,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,50000000,119,1323,6931,4,4414,0,4405,0,0,0,0,0,1
8.1,211,1983,6,2.35,23,29,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,22000000,240,505,4226,0,8476,0,354,0,0,0,0,0,0
8.4,213,1984,27,1.85,11,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,30000000,251,286,563,8,4071,0,379,1,0,0,0,0,1
6.8,215,1999,17,2.35,12,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15000000,95,189,8068,0,4391,0,1552,1,0,0,0,0,1
7.8,218,2008,30,1.85,9,7,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,12500000,94,202,2821,0,22574,0,12443,0,1,0,0,0,1
4.5,221,2002,11,2.35,25,13,12,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,40000000,93,4,25980,0,5006,0,1498,0,1,0,0,0,1
5.5,226,1995,10,2.35,28,18,17,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,30000000,106,32,6993,1,1054,0,341,1,0,0,0,0,1
5.6,234,2007,15,1.85,14,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25000000,101,268,3875,1,6699,0,5481,1,0,0,0,0,1
5.1,236,2015,11,2.35,19,12,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,35000000,87,395,6030,2,1612,0,5045,0,1,0,0,0,1
6.9,238,1984,8,1.85,28,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1500000,92,308,7194,3,6446,0,24013,1,0,0,0,0,1
6.9,243,1996,7,2.35,12,27,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,27000000,117,201,2988,2,6237,0,1278,0,1,0,0,0,1
6.5,248,1990,19,1.33,19,10,12,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,10000000,90,9,17494,2,37813,0,6475,1,0,0,0,0,1
6.2,252,2013,5,2.35,13,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16000000,112,256,2237,0,370,0,491,1,0,0,0,0,1
6.8,257,2012,8,2.35,14,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3000000,110,2133,1527,0,3000,0,50119,1,0,0,0,0,1
7.4,259,2014,9,2.35,11,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,50000000,141,1003,3475,1,217,0,159,1,0,0,0,0,1
7.6,261,1996,24,2.35,38,35,12,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,45000000,111,205,5990,2,3898,0,6476,0,1,0,0,0,1
6.7,275,2007,12,2.35,27,18,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,17000000,109,414,3654,0,8987,0,125,1,0,0,0,0,1
6.8,280,2005,19,2.35,26,4,13,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,780000,90,15,20530,0,26283,0,19392,0,1,0,0,0,1
6.3,282,2009,38,2.35,21,43,13,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,8000000,138,263,7306,0,2999,0,1504,1,0,0,0,0,1
6.9,284,1990,12,1.85,14,20,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14000000,125,1775,1131,2,3559,0,513,1,0,0,0,0,1
6,290,2014,11,2.35,20,18,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,25000000,111,559,4187,1,65215,0,5556,1,0,0,0,0,1
5.1,296,2007,22,2.35,6,34,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15000000,89,127,2679,0,6230,0,3075,1,0,0,0,0,1
7.7,297,1997,18,1.85,20,16,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,50000000,139,596,2905,0,7728,0,14496,0,1,0,0,0,1
6,299,2016,13,2.35,6,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11500000,109,386,2918,1,797,0,379,1,0,0,0,0,1
7.3,305,1996,18,2.35,11,20,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6500000,143,64,5177,1,4003,0,1300,0,0,0,0,0,1
7.7,307,2015,10,2.35,29,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,15000000,108,1756,463,0,11608,0,33691,1,0,0,0,0,0
5.5,308,2010,17,2.35,21,29,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40000000,110,1434,6249,1,5536,0,371,0,1,0,0,0,1
5.2,313,2001,11,1.85,31,18,11,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3000000,81,114,9565,0,5651,0,7584,0,1,0,0,0,1
6.6,321,1984,35,2.35,23,18,13,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17000000,105,165,6221,1,9685,0,3828,0,0,0,0,0,1
7.3,322,2016,19,2.35,36,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,15000000,104,173,529,0,9647,0,9,0,1,0,0,0,1
7.9,324,1987,16,2.35,20,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,25000000,119,532,1748,1,5852,0,379,1,0,0,0,0,1
6.8,325,2008,9,2.35,19,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,20000000,115,190,5886,0,12184,0,719,1,0,0,0,0,1
6.5,337,2010,7,2.35,30,21,12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,6500000,102,4,60683,0,4731,0,3521,1,0,0,0,0,1
7.1,340,2016,23,2.35,36,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,29000000,110,641,4112,3,15321,0,559,0,1,0,0,0,1
5.2,351,1995,9,2.35,20,14,11,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25000000,104,235,2418,0,3075,0,52,1,0,0,0,0,1
6.6,353,1989,15,2.35,25,14,11,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,32000000,133,277,3755,0,8276,0,4222,0,1,0,0,0,1
6.6,356,2000,13,2.35,31,20,15,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,55000000,110,208,7137,2,5956,0,3509,0,1,0,0,0,1
8,357,2014,7,1.85,5,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4000000,165,3497,2308,0,77239,0,7546,1,0,0,0,0,1
7.6,362,2001,10,1.85,23,21,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,17000000,101,36,17148,0,14207,0,5241,0,1,0,0,0,1
6.9,363,1981,7,1.85,17,29,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,10000000,117,371,3701,1,3155,0,1278,1,0,0,0,0,1
5.9,367,1991,10,1.85,27,29,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,17000000,88,833,14298,1,12737,0,13801,1,0,0,0,0,1
5.4,377,2008,17,1.85,21,8,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,40000000,99,368,10212,1,134045,0,133,1,0,0,0,0,1
6.2,378,2000,17,1.85,27,12,14,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,45000000,109,427,2843,1,4617,0,354,0,1,0,0,0,1
6.6,385,2011,21,2.35,14,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35000000,109,1777,2051,2,5710,0,376,1,0,0,0,0,1
7.9,387,2014,12,2.35,20,17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,8500000,117,2171,1153,1,87042,0,170,1,0,0,0,0,1
7.5,401,2013,2,2.35,21,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,40000000,128,18,5008,0,3971,0,413,0,1,0,0,0,1
6.2,402,2004,15,1.85,21,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,35000000,104,147,7338,1,2450,0,1304,1,0,0,0,0,1
7.3,403,2001,8,1.85,13,7,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25000000,121,493,3408,1,16630,0,2835,0,1,0,0,0,1
5.5,404,2007,15,2.35,30,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,17000000,160,510,5133,6,162110,0,2419,1,0,0,0,0,1
6.5,416,2010,17,2.35,20,20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,30000000,105,731,4824,1,23972,0,1992,0,0,0,0,0,1
5.2,418,2002,19,2.35,20,12,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,35000000,101,344,3238,2,4974,0,5396,1,0,0,0,0,1
6.3,420,2002,11,2.35,28,21,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,42000000,115,71,6369,1,5997,0,856,0,1,0,0,0,1
7.1,426,1998,11,1.85,12,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,15000000,97,291,9061,0,5179,0,379,1,0,0,0,0,1
6.2,429,2011,19,2.35,14,18,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25000000,108,2141,1954,1,1501,0,264,1,0,0,0,0,1
6.6,435,2004,8,1.85,6,23,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25000000,93,74,1677,5,2441,0,150,1,0,0,0,0,1
7.3,439,2007,15,2.35,28,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,25000000,119,985,6084,0,5713,0,4548,1,0,0,0,0,1
6.9,443,1999,16,1.85,14,10,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14000000,97,84,13310,3,4703,0,1452,0,1,0,0,0,1
6.5,451,2000,18,1.85,6,21,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,51000000,116,14,4387,1,20024,0,3834,1,0,0,0,0,1
7,454,2000,13,1.85,14,49,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,20000000,126,70,28423,0,5145,0,411,1,0,0,0,0,1
6.5,456,2005,16,2.35,23,18,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,43000000,104,113,5324,0,2240,0,4361,0,1,0,0,0,0
5.8,463,2002,9,1.85,14,29,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50000000,96,162,6395,1,3327,0,1366,0,1,0,0,0,1
6.4,468,2010,9,2.35,14,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19000000,100,797,1904,2,3718,0,1227,0,0,0,0,0,1
6.4,470,2008,14,2.35,6,34,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20000000,102,399,9929,2,3742,0,3960,0,1,0,0,0,1
7.7,472,1998,30,2.35,22,20,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,18500000,118,858,1312,0,1303,0,121,1,0,0,0,0,1
7.6,488,2004,12,2.35,20,24,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2500000,102,53,3104,3,4802,0,24304,1,0,0,0,0,1
7.8,498,1997,8,2.35,22,29,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,50000000,129,410,1380,1,22256,0,2985,1,0,0,0,0,1
7.6,500,1999,17,2.35,9,24,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,52000000,215,1108,1962,0,6228,0,5558,1,0,0,0,0,1
7.7,503,2014,24,2.35,23,14,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15000000,123,3289,1607,0,7983,0,584,0,1,0,0,0,1
7.3,507,1995,6,1.85,12,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3500000,97,6,1642,1,11546,0,2303,1,0,0,0,0,0
7.5,510,2004,19,1.85,11,18,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3000000,101,254,14293,0,239419,0,5176,1,0,0,0,0,1
7.8,518,2000,19,2.35,21,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,30000000,120,450,1387,1,2301,0,215,0,0,0,0,0,1
6.9,519,2015,7,2.35,34,29,12,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,49000000,120,1021,2007,0,9550,0,336,1,0,0,0,0,1
7.3,523,2002,12,2.35,13,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19800000,131,748,2593,0,3731,0,2364,1,0,0,0,0,1
5,528,1980,4,2.35,28,25,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,18000000,123,12,7348,0,545,0,2216,0,0,0,0,0,1
8.1,535,1987,7,1.85,9,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6000000,120,790,1168,0,5495,0,121,1,0,0,0,0,1
6,548,2012,24,2.35,6,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,850000,88,3,12383,0,603,0,4968,1,0,0,0,0,1
6.4,549,1994,8,2.35,38,12,12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,20000000,107,22,21830,1,2099,0,850,1,0,0,0,0,1
7.3,550,1994,12,1.85,20,29,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,15000000,115,362,2021,4,2064,0,49,0,0,0,0,0,1
8.1,551,2015,9,1.85,29,17,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,20000000,128,1886,826,2,8510,0,1807,1,0,0,0,0,1
7.1,565,2016,4,2.35,21,26,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,30000000,134,225,8643,0,6630,0,2566,0,1,0,0,0,1
6.4,568,2003,26,1.78,21,29,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,29000000,102,304,4732,1,13037,0,121,1,0,0,0,0,1
3.4,571,2003,39,1.37,6,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19000000,85,122,6798,0,7958,0,2857,0,1,0,0,0,1
5.6,574,2011,7,2.35,21,17,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,17000000,86,1204,2064,1,5684,0,1625,0,1,0,0,0,1
7.2,576,2012,13,1.85,20,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17000000,112,3275,1057,4,3156,0,54,0,1,0,0,0,1
6.3,592,2000,11,2.35,18,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,24000000,110,118,16048,4,3619,0,856,1,0,0,0,0,1
6.1,594,2012,17,1.85,13,21,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,25000000,105,417,9292,5,2628,0,485,0,0,0,0,0,1
6.4,599,2015,4,2.35,25,11,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,17000000,102,71,12474,0,26582,0,4183,0,0,0,0,0,1
6.1,602,2000,14,2.35,21,12,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,25000000,115,139,5108,1,5396,0,2653,1,0,0,0,0,1
7.6,606,1973,19,2.35,15,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5500000,105,152,6069,0,3541,0,102,1,0,0,0,0,1
