"imdb_score","movie_id","release_year","movie_title_length","aspect_ratio","genres_length","distributor_length","actor1_length","is_Miramax","is_Nov","is_Dec","comput","campus","holiday","riot","terror","escap","wish","love","action","adventure","scifi","thriller","western","sport","horror","drama","war","crime","documentary","biography","fantasy","comedy","family","movie_budget","duration","nb_news_articles","movie_meter_IMDBpro","nb_faces","actor3_star_meter","animation","actor1_star_meter","R","PG.13","Approved","TV.G","TV.14","is_color","log_nb_news_articles","log_movie_meter_IMDBpro","log_movie_budget","log_duration"
8.3,186,1997,17,2.35,28,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,35000000,138,80,1615,2,10551,0,625,1,0,0,0,0,1,4.38202663467388,7.38709023565676,17.3708586194537,4.92725368515721
6,187,1998,11,2.35,30,33,14,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,45000000,106,82,4759,0,3253,0,1863,1,0,0,0,0,1,4.40671924726425,8.46779284112111,17.6221730477346,4.66343909411207
8.1,191,1984,14,1.85,13,14,13,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6500000,107,6801,1100,1,8672,0,1232,1,0,0,0,0,1,8.82482493917564,7.00306545878646,15.6873127348659,4.67282883446191
7.5,194,1995,11,2.35,9,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6000000,104,0,656405,3,2364,0,159,1,0,0,0,0,1,-Inf,13.3945332554756,15.6072700271923,4.64439089914137
7.7,197,2004,3,1.85,23,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1200000,103,3721,1488,0,2602,0,4267,1,0,0,0,0,1,8.22174772834662,7.30518821539304,13.9978321147582,4.63472898822964
6.4,208,2014,19,1.85,37,35,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,50000000,119,1323,6931,4,4414,0,4405,0,0,0,0,0,1,7.18765716411496,8.84375938191798,17.7275335633924,4.77912349311153
8.1,211,1983,6,2.35,23,29,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,22000000,240,505,4226,0,8476,0,354,0,0,0,0,0,0,6.22455842927536,8.349011198176,16.9065530113226,5.48063892334199
8.4,213,1984,27,1.85,11,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,30000000,251,286,563,8,4071,0,379,1,0,0,0,0,1,5.65599181081985,6.33327962813969,17.2167079396264,5.52545293913178
6.8,215,1999,17,2.35,12,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15000000,95,189,8068,0,4391,0,1552,1,0,0,0,0,1,5.24174701505964,8.9956608990741,16.5235607590665,4.55387689160054
7.8,218,2008,30,1.85,9,7,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,12500000,94,202,2821,0,22574,0,12443,0,1,0,0,0,1,5.30826769740121,7.944846711002,16.3412392022725,4.54329478227
4.5,221,2002,11,2.35,25,13,12,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,40000000,93,4,25980,0,5006,0,1498,0,1,0,0,0,1,1.38629436111989,10.1650822902246,17.5043900120782,4.53259949315326
5.5,226,1995,10,2.35,28,18,17,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,30000000,106,32,6993,1,1054,0,341,1,0,0,0,0,1,3.46573590279973,8.85266492770387,17.2167079396264,4.66343909411207
5.6,234,2007,15,1.85,14,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25000000,101,268,3875,1,6699,0,5481,1,0,0,0,0,1,5.59098698051086,8.26230094178745,17.0343863828325,4.61512051684126
5.1,236,2015,11,2.35,19,12,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,35000000,87,395,6030,2,1612,0,5045,0,1,0,0,0,1,5.97888576490112,8.70450228972123,17.3708586194537,4.46590811865458
6.9,238,1984,8,1.85,28,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1500000,92,308,7194,3,6446,0,24013,1,0,0,0,0,1,5.73009978297357,8.88100262425557,14.2209756660724,4.52178857704904
6.9,243,1996,7,2.35,12,27,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,27000000,117,201,2988,2,6237,0,1278,0,1,0,0,0,1,5.30330490805908,8.00235954625271,17.1113474239686,4.76217393479776
6.5,248,1990,19,1.33,19,10,12,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,10000000,90,9,17494,2,37813,0,6475,1,0,0,0,0,1,2.19722457733622,9.7696132439798,16.1180956509583,4.49980967033027
6.2,252,2013,5,2.35,13,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16000000,112,256,2237,0,370,0,491,1,0,0,0,0,1,5.54517744447956,7.71289096149013,16.5880992802041,4.71849887129509
6.8,257,2012,8,2.35,14,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3000000,110,2133,1527,0,3000,0,50119,1,0,0,0,0,1,7.66528471847135,7.33106030521863,14.9141228466324,4.70048036579242
7.4,259,2014,9,2.35,11,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,50000000,141,1003,3475,1,217,0,159,1,0,0,0,0,1,6.91075078796194,8.15334975799889,17.7275335633924,4.94875989037817
7.6,261,1996,24,2.35,38,35,12,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,45000000,111,205,5990,2,3898,0,6476,0,1,0,0,0,1,5.32300997913841,8.6978466911095,17.6221730477346,4.70953020131233
6.7,275,2007,12,2.35,27,18,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,17000000,109,414,3654,0,8987,0,125,1,0,0,0,0,1,6.02586597382531,8.20357773693795,16.6487239020205,4.69134788222914
6.8,280,2005,19,2.35,26,4,13,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,780000,90,15,20530,0,26283,0,19392,0,1,0,0,0,1,2.70805020110221,9.92964251001298,13.5670491986658,4.49980967033027
6.3,282,2009,38,2.35,21,43,13,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,8000000,138,263,7306,0,2999,0,1504,1,0,0,0,0,1,5.57215403217776,8.89645120735523,15.8949520996441,4.92725368515721
6.9,284,1990,12,1.85,14,20,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14000000,125,1775,1131,2,3559,0,513,1,0,0,0,0,1,7.48155570190952,7.03085747611612,16.4545678875795,4.8283137373023
6,290,2014,11,2.35,20,18,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,25000000,111,559,4187,1,65215,0,5556,1,0,0,0,0,1,6.3261494731551,8.33973976601914,17.0343863828325,4.70953020131233
5.1,296,2007,22,2.35,6,34,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15000000,89,127,2679,0,6230,0,3075,1,0,0,0,0,1,4.84418708645859,7.89319886954461,16.5235607590665,4.48863636973214
7.7,297,1997,18,1.85,20,16,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,50000000,139,596,2905,0,7728,0,14496,0,1,0,0,0,1,6.39024066706535,7.97418866928601,17.7275335633924,4.93447393313069
6,299,2016,13,2.35,6,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11500000,109,386,2918,1,797,0,379,1,0,0,0,0,1,5.95583736946483,7.97865372908273,16.2578575933335,4.69134788222914
7.3,305,1996,18,2.35,11,20,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6500000,143,64,5177,1,4003,0,1300,0,0,0,0,0,1,4.15888308335967,8.5519810169019,15.6873127348659,4.96284463025991
7.7,307,2015,10,2.35,29,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,15000000,108,1756,463,0,11608,0,33691,1,0,0,0,0,0,7.47079377419506,6.13772705408623,16.5235607590665,4.68213122712422
5.5,308,2010,17,2.35,21,29,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40000000,110,1434,6249,1,5536,0,371,0,1,0,0,0,1,7.26822302115957,8.74017672992908,17.5043900120782,4.70048036579242
5.2,313,2001,11,1.85,31,18,11,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3000000,81,114,9565,0,5651,0,7584,0,1,0,0,0,1,4.7361984483945,9.16586588187435,14.9141228466324,4.39444915467244
6.6,321,1984,35,2.35,23,18,13,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17000000,105,165,6221,1,9685,0,3828,0,0,0,0,0,1,5.10594547390058,8.73568594451502,16.6487239020205,4.65396035015752
7.3,322,2016,19,2.35,36,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,15000000,104,173,529,0,9647,0,9,0,1,0,0,0,1,5.15329159449778,6.2709884318583,16.5235607590665,4.64439089914137
7.9,324,1987,16,2.35,20,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,25000000,119,532,1748,1,5852,0,379,1,0,0,0,0,1,6.27664348934164,7.46622755621548,17.0343863828325,4.77912349311153
6.8,325,2008,9,2.35,19,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,20000000,115,190,5886,0,12184,0,719,1,0,0,0,0,1,5.24702407216049,8.68033192879342,16.8112428315183,4.74493212836325
6.5,337,2010,7,2.35,30,21,12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,6500000,102,4,60683,0,4731,0,3521,1,0,0,0,0,1,1.38629436111989,11.013418871924,15.6873127348659,4.62497281328427
7.1,340,2016,23,2.35,36,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,29000000,110,641,4112,3,15321,0,559,0,1,0,0,0,1,6.46302945692067,8.321664807135,17.1828063879507,4.70048036579242
5.2,351,1995,9,2.35,20,14,11,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25000000,104,235,2418,0,3075,0,52,1,0,0,0,0,1,5.45958551414416,7.79069603117474,17.0343863828325,4.64439089914137
6.6,353,1989,15,2.35,25,14,11,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,32000000,133,277,3755,0,8276,0,4222,0,1,0,0,0,1,5.62401750618734,8.23084356419823,17.281246460764,4.89034912822175
6.6,356,2000,13,2.35,31,20,15,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,55000000,110,208,7137,2,5956,0,3509,0,1,0,0,0,1,5.33753807970132,8.87304779897107,17.8228437431967,4.70048036579242
8,357,2014,7,1.85,5,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4000000,165,3497,2308,0,77239,0,7546,1,0,0,0,0,1,8.15966073706338,7.74413662762799,15.2018049190842,5.10594547390058
7.6,362,2001,10,1.85,23,21,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,17000000,101,36,17148,0,14207,0,5241,0,1,0,0,0,1,3.58351893845611,9.74963682771787,16.6487239020205,4.61512051684126
6.9,363,1981,7,1.85,17,29,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,10000000,117,371,3701,1,3155,0,1278,1,0,0,0,0,1,5.91620206260743,8.21635833238616,16.1180956509583,4.76217393479776
5.9,367,1991,10,1.85,27,29,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,17000000,88,833,14298,1,12737,0,13801,1,0,0,0,0,1,6.72503364216684,9.5678749463268,16.6487239020205,4.47733681447821
5.4,377,2008,17,1.85,21,8,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,40000000,99,368,10212,1,134045,0,133,1,0,0,0,0,1,5.90808293816893,9.23131877836138,17.5043900120782,4.59511985013459
6.2,378,2000,17,1.85,27,12,14,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,45000000,109,427,2843,1,4617,0,354,0,1,0,0,0,1,6.05678401322862,7.952615111651,17.6221730477346,4.69134788222914
6.6,385,2011,21,2.35,14,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35000000,109,1777,2051,2,5710,0,376,1,0,0,0,0,1,7.48268182815465,7.62608275807238,17.3708586194537,4.69134788222914
7.9,387,2014,12,2.35,20,17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,8500000,117,2171,1153,1,87042,0,170,1,0,0,0,0,1,7.68294316987829,7.05012252026906,15.9555767214605,4.76217393479776
7.5,401,2013,2,2.35,21,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,40000000,128,18,5008,0,3971,0,413,0,1,0,0,0,1,2.89037175789616,8.51879191277993,17.5043900120782,4.85203026391962
6.2,402,2004,15,1.85,21,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,35000000,104,147,7338,1,2450,0,1304,1,0,0,0,0,1,4.99043258677874,8.90082160491523,17.3708586194537,4.64439089914137
7.3,403,2001,8,1.85,13,7,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25000000,121,493,3408,1,16630,0,2835,0,1,0,0,0,1,6.20050917404269,8.13388088794921,17.0343863828325,4.79579054559674
5.5,404,2007,15,2.35,30,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,17000000,160,510,5133,6,162110,0,2419,1,0,0,0,0,1,6.23441072571837,8.5434455625603,16.6487239020205,5.07517381523383
6.5,416,2010,17,2.35,20,20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,30000000,105,731,4824,1,23972,0,1992,0,0,0,0,0,1,6.59441345974978,8.48135873840702,17.2167079396264,4.65396035015752
5.2,418,2002,19,2.35,20,12,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,35000000,101,344,3238,2,4974,0,5396,1,0,0,0,0,1,5.8406416573734,8.08271113423758,17.3708586194537,4.61512051684126
6.3,420,2002,11,2.35,28,21,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,42000000,115,71,6369,1,5997,0,856,0,1,0,0,0,1,4.26267987704132,8.75919775037137,17.5531801762476,4.74493212836325
7.1,426,1998,11,1.85,12,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,15000000,97,291,9061,0,5179,0,379,1,0,0,0,0,1,5.67332326717149,9.11173476822206,16.5235607590665,4.57471097850338
6.2,429,2011,19,2.35,14,18,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25000000,108,2141,1954,1,1501,0,264,1,0,0,0,0,1,7.66902828858968,7.57763383260273,17.0343863828325,4.68213122712422
6.6,435,2004,8,1.85,6,23,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25000000,93,74,1677,5,2441,0,150,1,0,0,0,0,1,4.30406509320417,7.42476176182321,17.0343863828325,4.53259949315326
7.3,439,2007,15,2.35,28,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,25000000,119,985,6084,0,5713,0,4548,1,0,0,0,0,1,6.89264164117209,8.71341765337918,17.0343863828325,4.77912349311153
6.9,443,1999,16,1.85,14,10,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14000000,97,84,13310,3,4703,0,1452,0,1,0,0,0,1,4.43081679884331,9.49627091138916,16.4545678875795,4.57471097850338
6.5,451,2000,18,1.85,6,21,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,51000000,116,14,4387,1,20024,0,3834,1,0,0,0,0,1,2.63905732961526,8.38640090116621,17.7473361906886,4.75359019110636
7,454,2000,13,1.85,14,49,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,20000000,126,70,28423,0,5145,0,411,1,0,0,0,0,1,4.24849524204936,10.2549539555452,16.8112428315183,4.83628190695148
